objectid,original_spreadsheet,filename,title,creator,description,date,date is approximate,subjects,latitude,longitude,Source,Donor,Identifier,Rights,Standardized Rights,Format Original,youtubeid,Type,Format,object_template,object_download,image_small,image_thumb
twrs001,artifacts,DSC_0116.JPG,Jess Taylor on a hunting trip,,Jess Taylor on a hunting trip with a bighorn sheep kill. ,,,Jess Taylor; Bighorn Sheep; ,,,,,DSC_0116,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0116.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0116_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0116_th.jpg
twrs002,artifacts,DSC_0118.JPG,Cast Iron Dutch Oven,,"During the summer of 1928, I (W.H. Bolles) was forest ranger on the Cold Meadows district, Idaho National Forest (now Payette) and spent several days with Uncle Dave Lewis at his cabin on Big Creek. He gave me this dutch oven which is very old for it has a forger iron bail. ",1928,,W.H. Bolles; Dave Lewis,45.102402,-114.850242,,,DSC_0118,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0118.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0118_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0118_th.jpg
twrs003,artifacts,DSC_0119.JPG,Cast Iron Dutch Oven,,"During the summer of 1928, I (W.H. Bolles) was forest ranger on the Cold Meadows district, Idaho National Forest (now Payette) and spent several days with Uncle Dave Lewis at his cabin on Big Creek. He gave me this dutch oven which is very old for it has a forger iron bail. ",1928,,W.H. Bolles; Dave Lewis,45.102402,-114.850242,,,DSC_0119,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0119.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0119_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0119_th.jpg
twrs004,artifacts,DSC_0120.JPG,Cast Iron Dutch Oven,,"During the summer of 1928, I (W.H. Bolles) was forest ranger on the Cold Meadows district, Idaho National Forest (now Payette) and spent several days with Uncle Dave Lewis at his cabin on Big Creek. He gave me this dutch oven which is very old for it has a forger iron bail. ",1928,,W.H. Bolles; Dave Lewis,45.102402,-114.850242,,,DSC_0120,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0120.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0120_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0120_th.jpg
twrs005,artifacts,DSC_0121.JPG,Mining Pan,,Mining Pan,,,Mining,45.102402,-114.850242,,,DSC_0121,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0121.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0121_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0121_th.jpg
twrs006,artifacts,DSC_0122.JPG,Jess and Dorothy Taylor,,Jess and Dorothy Taylor,,,Jess Taylor; Dorothy Taylor,,,,,DSC_0122,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0122.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0122_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0122_th.jpg
twrs007,artifacts,DSC_0124.JPG,Dave Lewis' Gloves,,"These ""parade gloves"" belonged to Dave Lewis. They were with his other treasures possessions in an old travel trunk that he left with Jess Taylor in 1936. Using the lining material pattern for dating these gloves were dated to 1880, the year after the Sheepeater Campaign was concluded where he served as a civilian ammunition packer. The bead pattern on these gloves is typical of bead-work done by Shoshoni women of that time period. It is not known when Dave Lewis wore these gloves. One possibility was when the U.S. Army moved the small Sheepeater band from Fort Vancouver, Washington to Fort Hall, Idaho Territory in the spring of 1880. These gloves are yet another Dave Lewis mystery. ",1880,,Dave Lewis,45.102402,-114.850242,,,DSC_0124,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0124.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0124_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0124_th.jpg
twrs008,artifacts,DSC_0125.JPG,Description of Dave Lewis' Gloves,,"These ""parade gloves"" belonged to Dave Lewis. They were with his other treasures possessions in an old travel trunk that he left with Jess Taylor in 1936. Using the lining material pattern for dating these gloves were dated to 1880, the year after the Sheepeater Campaign was concluded where he served as a civilian ammunition packer. The bead pattern on these gloves is typical of bead-work done by Shoshoni women of that time period. It is not known when Dave Lewis wore these gloves. One possibility was when the U.S. Army moved the small Sheepeater band from Fort Vancouver, Washington to Fort Hall, Idaho Territory in the spring of 1880. These gloves are yet another Dave Lewis mystery. ",1880,,Dave Lewis,45.102402,-114.850242,,,DSC_0125,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0125.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0125_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0125_th.jpg
twrs009,artifacts,DSC_0126.JPG,Dave Lewis at Soldier Bar,,"In this 1927 photograph, Governor Clarence Baldridge, Dave Lewis, and Regional Forester R.H. Rutledge stand from left to right by the monument for private Harry Eagan who was killed in August of 1879 during the Sheepeater War. ",1927,,Dave Lewis; Soldier Bar,45.104624,-114.795725,,,DSC_0126,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0126.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0126_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0126_th.jpg
twrs010,artifacts,DSC_0127.JPG,Description of Dave Lewis at Soldier Bar,,"In this 1927 photograph, Governor Clarence Baldridge, Dave Lewis, and Regional Forester R.H. Rutledge stand from left to right by the monument for private Harry Eagan who was killed in August of 1879 during the Sheepeater War. ",1927,,Dave Lewis; Soldier Bar,45.104624,-114.795725,,,DSC_0127,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0127.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0127_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0127_th.jpg
